RegionName,StateName,Date,Avg_Price
Santa Rosa,CA,1997-01-31,214862
Pensacola,FL,1997-01-31,94053
Visalia,CA,1997-01-31,96542
Port St. Lucie,FL,1997-01-31,102482
Santa Maria-Santa Barbara,CA,1997-01-31,224982
Salinas,CA,1997-01-31,180574
Vallejo,CA,1997-01-31,135726
Tallahassee,FL,1997-01-31,93652
Naples,FL,1997-01-31,164369
San Luis Obispo,CA,1997-01-31,184944
Gainesville,FL,1997-01-31,96541
Santa Cruz,CA,1997-01-31,241786
Crestview-Fort Walton Beach-Destin,FL,1997-01-31,103872
Panama City,FL,1997-01-31,95425
Redding,CA,1997-01-31,86827
Punta Gorda,FL,1997-01-31,88817
Homosassa Springs,FL,1997-01-31,82304
Vero Beach,FL,1997-01-31,104213
Napa,CA,1997-01-31,174747
The Villages,FL,1997-01-31,107222
Lake City,FL,1997-01-31,47013
Okeechobee,FL,1997-01-31,70868
Clewiston,FL,1997-01-31,59051
Arcadia,FL,1997-01-31,57237
Wauchula,FL,1997-01-31,46567
Los Angeles-Long Beach-Anaheim,CA,1997-02-28,191036
Miami-Fort Lauderdale,FL,1997-02-28,126984
San Francisco,CA,1997-02-28,263265
Riverside,CA,1997-02-28,121581
San Diego,CA,1997-02-28,188661
Tampa,FL,1997-02-28,93525
Sacramento,CA,1997-02-28,148816
Orlando,FL,1997-02-28,112510
San Jose,CA,1997-02-28,272695
Jacksonville,FL,1997-02-28,102809
Fresno,CA,1997-02-28,108266
Bakersfield,CA,1997-02-28,113717
Ventura,CA,1997-02-28,209644
North Port-Sarasota-Bradenton,FL,1997-02-28,123146
Stockton,CA,1997-02-28,113009
Fort Myers,FL,1997-02-28,120886
Lakeland,FL,1997-02-28,90476
Daytona Beach,FL,1997-02-28,93519
Melbourne,FL,1997-02-28,98916
Santa Rosa,CA,1997-02-28,215355
Pensacola,FL,1997-02-28,94372
Visalia,CA,1997-02-28,96601
Port St. Lucie,FL,1997-02-28,102476
Santa Maria-Santa Barbara,CA,1997-02-28,225745
Salinas,CA,1997-02-28,181197
Vallejo,CA,1997-02-28,136177
Tallahassee,FL,1997-02-28,93895
Naples,FL,1997-02-28,164787
San Luis Obispo,CA,1997-02-28,185727
Gainesville,FL,1997-02-28,96932
Santa Cruz,CA,1997-02-28,243783
Crestview-Fort Walton Beach-Destin,FL,1997-02-28,104304
Panama City,FL,1997-02-28,95779
Redding,CA,1997-02-28,86814
Punta Gorda,FL,1997-02-28,88888
Homosassa Springs,FL,1997-02-28,82394
Vero Beach,FL,1997-02-28,104563
Napa,CA,1997-02-28,175662
The Villages,FL,1997-02-28,107732
Lake City,FL,1997-02-28,46941
Okeechobee,FL,1997-02-28,71122
Clewiston,FL,1997-02-28,59655
Arcadia,FL,1997-02-28,57580
Wauchula,FL,1997-02-28,46629
Los Angeles-Long Beach-Anaheim,CA,1997-03-31,190732
Miami-Fort Lauderdale,FL,1997-03-31,127012
San Francisco,CA,1997-03-31,265022
Riverside,CA,1997-03-31,121840
San Diego,CA,1997-03-31,188946
Tampa,FL,1997-03-31,93655
Sacramento,CA,1997-03-31,149181
Orlando,FL,1997-03-31,112525
San Jose,CA,1997-03-31,275719
Jacksonville,FL,1997-03-31,103124
Fresno,CA,1997-03-31,108274
Bakersfield,CA,1997-03-31,113549
Ventura,CA,1997-03-31,210431
North Port-Sarasota-Bradenton,FL,1997-03-31,123510
Stockton,CA,1997-03-31,112453
Fort Myers,FL,1997-03-31,120888
Lakeland,FL,1997-03-31,90424
Daytona Beach,FL,1997-03-31,93543
Melbourne,FL,1997-03-31,98735
Santa Rosa,CA,1997-03-31,215440
Pensacola,FL,1997-03-31,94307
Visalia,CA,1997-03-31,96411
Port St. Lucie,FL,1997-03-31,102551
Santa Maria-Santa Barbara,CA,1997-03-31,225496
Salinas,CA,1997-03-31,181600
Vallejo,CA,1997-03-31,136612
Tallahassee,FL,1997-03-31,94107
Naples,FL,1997-03-31,164920
San Luis Obispo,CA,1997-03-31,186562
Gainesville,FL,1997-03-31,97343
Santa Cruz,CA,1997-03-31,245548
Crestview-Fort Walton Beach-Destin,FL,1997-03-31,104761
Panama City,FL,1997-03-31,96159
Redding,CA,1997-03-31,86633
Punta Gorda,FL,1997-03-31,89036
Homosassa Springs,FL,1997-03-31,82503
Vero Beach,FL,1997-03-31,104791
Napa,CA,1997-03-31,176682
The Villages,FL,1997-03-31,108016
Lake City,FL,1997-03-31,46865
Okeechobee,FL,1997-03-31,71435
Clewiston,FL,1997-03-31,59818
Arcadia,FL,1997-03-31,57906
Wauchula,FL,1997-03-31,46686
Los Angeles-Long Beach-Anaheim,CA,1997-04-30,190988
Miami-Fort Lauderdale,FL,1997-04-30,127393
San Francisco,CA,1997-04-30,267000
Riverside,CA,1997-04-30,122187
San Diego,CA,1997-04-30,189449
Tampa,FL,1997-04-30,93995
Sacramento,CA,1997-04-30,149661
Orlando,FL,1997-04-30,112882
San Jose,CA,1997-04-30,278538
Jacksonville,FL,1997-04-30,103469
Fresno,CA,1997-04-30,107947
Bakersfield,CA,1997-04-30,113347
Ventura,CA,1997-04-30,211364
North Port-Sarasota-Bradenton,FL,1997-04-30,124003
Stockton,CA,1997-04-30,112466
Fort Myers,FL,1997-04-30,121248
Lakeland,FL,1997-04-30,90544
Daytona Beach,FL,1997-04-30,93748
Melbourne,FL,1997-04-30,98803
Santa Rosa,CA,1997-04-30,216136
Pensacola,FL,1997-04-30,94520
Visalia,CA,1997-04-30,96534
Port St. Lucie,FL,1997-04-30,102874
Santa Maria-Santa Barbara,CA,1997-04-30,226622
