State,County,Date,Covid_Cummulative_Numbers
California,Siskiyou,2020-06-30,21
California,Solano,2020-06-30,609
California,Sonoma,2020-06-30,583
California,Stanislaus,2020-06-30,1421
California,Sutter,2020-06-30,130
California,Tehama,2020-06-30,71
California,Trinity,2020-06-30,1
California,Tulare,2020-06-30,2312
California,Tuolumne,2020-06-30,24
California,Unassigned,2020-06-30,0
California,Ventura,2020-06-30,1848
California,Yolo,2020-06-30,294
California,Yuba,2020-06-30,41
Florida,Alachua,2020-06-30,817
Florida,Baker,2020-06-30,34
Florida,Bay,2020-06-30,286
Florida,Bradford,2020-06-30,32
Florida,Brevard,2020-06-30,1371
Florida,Broward,2020-06-30,8501
Florida,Calhoun,2020-06-30,13
Florida,Charlotte,2020-06-30,317
Florida,Citrus,2020-06-30,170
Florida,Clay,2020-06-30,331
Florida,Collier,2020-06-30,2686
Florida,Columbia,2020-06-30,143
Florida,DeSoto,2020-06-30,422
Florida,Dixie,2020-06-30,17
Florida,Duval,2020-06-30,4563
Florida,Escambia,2020-06-30,1137
Florida,Flagler,2020-06-30,121
Florida,Franklin,2020-06-30,4
Florida,Gadsden,2020-06-30,106
Florida,Gilchrist,2020-06-30,85
Florida,Glades,2020-06-30,145
Florida,Gulf,2020-06-30,22
Florida,Hamilton,2020-06-30,101
Florida,Hardee,2020-06-30,331
Florida,Hendry,2020-06-30,538
Florida,Hernando,2020-06-30,258
Florida,Highlands,2020-06-30,221
Florida,Hillsborough,2020-06-30,8551
Florida,Holmes,2020-06-30,158
Florida,Indian River,2020-06-30,567
Florida,Jackson,2020-06-30,112
Florida,Jefferson,2020-06-30,20
Florida,Lafayette,2020-06-30,24
Florida,Lake,2020-06-30,1001
Florida,Lee,2020-06-30,3680
Florida,Leon,2020-06-30,710
Florida,Levy,2020-06-30,142
Florida,Liberty,2020-06-30,9
Florida,Madison,2020-06-30,126
Florida,Manatee,2020-06-30,1811
Florida,Marion,2020-06-30,424
Florida,Martin,2020-06-30,1404
Florida,Miami-Dade,2020-06-30,18820
Florida,Monroe,2020-06-30,151
Florida,Nassau,2020-06-30,106
Florida,Okaloosa,2020-06-30,443
Florida,Okeechobee,2020-06-30,294
Florida,Orange,2020-06-30,8312
Florida,Osceola,2020-06-30,1325
Florida,Out of FL,2020-06-30,0
Florida,Palm Beach,2020-06-30,8154
Florida,Pasco,2020-06-30,1606
Florida,Pinellas,2020-06-30,5190
Florida,Polk,2020-06-30,2809
Florida,Putnam,2020-06-30,187
Florida,Santa Rosa,2020-06-30,348
Florida,Sarasota,2020-06-30,847
Florida,Seminole,2020-06-30,2076
Florida,St. Johns,2020-06-30,688
Florida,St. Lucie,2020-06-30,1253
Florida,Sumter,2020-06-30,92
Florida,Suwannee,2020-06-30,332
Florida,Taylor,2020-06-30,57
Florida,Unassigned,2020-06-30,61
Florida,Union,2020-06-30,30
Florida,Volusia,2020-06-30,1369
Florida,Wakulla,2020-06-30,26
Florida,Walton,2020-06-30,128
Florida,Washington,2020-06-30,56
California,Alameda,2020-07-31,5175
California,Alpine,2020-07-31,0
California,Amador,2020-07-31,93
California,Butte,2020-07-31,773
California,Calaveras,2020-07-31,93
California,Colusa,2020-07-31,277
California,Contra Costa,2020-07-31,4538
California,Del Norte,2020-07-31,38
California,El Dorado,2020-07-31,459
California,Fresno,2020-07-31,9628
California,Glenn,2020-07-31,222
California,Humboldt,2020-07-31,100
California,Imperial,2020-07-31,3124
California,Inyo,2020-07-31,19
California,Kern,2020-07-31,14680
California,Kings,2020-07-31,1752
California,Lake,2020-07-31,135
California,Lassen,2020-07-31,402
California,Los Angeles,2020-07-31,84691
California,Madera,2020-07-31,1455
California,Marin,2020-07-31,2777
California,Mariposa,2020-07-31,27
California,Mendocino,2020-07-31,234
