indicator_id,region_id,date,value
ZSFH,99997,2015-11-30,205967.0
ZSFH,99997,2015-10-31,204205.0
ZSFH,99997,2015-09-30,203502.0
ZSFH,99997,2015-08-31,203001.0
ZSFH,99997,2015-07-31,202786.0
ZSFH,99997,2015-06-30,200590.0
ZSFH,99997,2015-05-31,197933.0
ZSFH,99997,2015-04-30,195142.0
ZSFH,99997,2015-03-31,192889.0
ZSFH,99997,2015-02-28,192088.0
ZSFH,99997,2015-01-31,190836.0
ZSFH,99997,2014-12-31,190184.0
ZSFH,99997,2014-11-30,189522.0
ZSFH,99997,2014-10-31,188164.0
ZSFH,99997,2014-09-30,186483.0
ZSFH,99997,2014-08-31,184590.0
ZSFH,99997,2014-07-31,183313.0
ZSFH,99997,2014-06-30,182996.0
ZSFH,99997,2014-05-31,182192.0
ZSFH,99997,2014-04-30,181955.0
ZSFH,99997,2014-03-31,180771.0
ZSFH,99997,2014-02-28,179841.0
ZSFH,99997,2014-01-31,178478.0
ZSFH,99997,2013-12-31,177337.0
ZSFH,99997,2013-11-30,176360.0
ZSFH,99997,2013-10-31,175552.0
ZSFH,99997,2013-09-30,175147.0
ZSFH,99997,2013-08-31,174625.0
ZSFH,99997,2013-07-31,173755.0
ZSFH,99997,2013-06-30,172282.0
ZSFH,99997,2013-05-31,171638.0
ZSFH,99997,2013-04-30,171105.0
ZSFH,99997,2013-03-31,170240.0
ZSFH,99997,2013-02-28,168264.0
ZSFH,99997,2013-01-31,167060.0
ZSFH,99997,2012-12-31,165841.0
ZSFH,99997,2012-11-30,165028.0
ZSFH,99997,2012-10-31,163751.0
ZSFH,99997,2012-09-30,162359.0
ZSFH,99997,2012-08-31,161232.0
ZSFH,99997,2012-07-31,160989.0
ZSFH,99997,2012-06-30,161450.0
ZSFH,99997,2012-05-31,161609.0
ZSFH,99997,2012-04-30,160321.0
ZSFH,99997,2012-03-31,160106.0
ZSFH,99997,2012-02-29,159703.0
ZSFH,99997,2012-01-31,160448.0
ZSFH,99997,2011-12-31,160415.0
ZSFH,99997,2011-11-30,160686.0
ZSFH,99997,2011-10-31,161397.0
ZSFH,99997,2011-09-30,162267.0
ZSFH,99997,2011-08-31,162040.0
